Zip code,Latitude,Longitude,Number of Level 2 chargers
49770,45.26616903,-84.92883925,5
49770,45.2511864,-84.8621063,1
49735,45.13187255,-84.80034605,2
49721,45.65708303,-84.4881071,9
49721,45.63375003,-84.47950613,1
49721,45.6689076,-84.42091,3
49721,45.6417393,-84.4649598,1
49701,45.7507244,-84.685642,1
49701,45.77448549,-84.72649777,30
49749,45.5032692,-84.7169495,1
49749,45.5212698,-84.64842988,6
49721,45.51825203,-84.55489093,4
49721,45.57105724,-84.46230921,21
49721,45.4827995,-84.2521667,1
49721,45.5241966,-84.3624573,1
49749,45.44139563,-84.70509493,5
49749,45.4105775,-84.61627915,39
49749,45.4443342,-84.5668323,1
49701,46.49590085,-84.3353356,6
49701,46.50137938,-84.35295052,7
49701,46.4936599,-84.3509431,1
49701,46.48472004,-84.35569361,12
49701,46.4766102,-84.3236706,1
49701,46.4906585,-84.3176637,1
49701,46.4760988,-84.3545548,1
49701,46.47196044,-84.37144566,11
49701,46.455737,-84.2837159,1
49701,46.4153519,-84.5629158,3
49701,46.2701187,-84.5030289,1
49701,46.1644326,-84.2274222,1
49721,45.98438721,-83.9664847,10
48617,43.82406765,-84.76782665,2
48617,43.8405384,-84.77087875,2
48617,43.8737106,-84.807663,1
48617,43.8041738,-84.6667707,1
48617,43.9122314,-84.8947144,1
48617,43.850502,-84.8924713,1
48617,43.94916605,-84.95186343,5
48617,43.9245885,-84.89012657,4
48617,43.8427881,-85.02580365,5
48617,44.02177877,-84.79367347,10
48617,43.9830399,-84.7715988,1
48617,44.0474088,-84.80824735,2
48617,44.06132572,-84.7525495,8
48617,43.9596226,-84.6861609,1
48617,43.957957,-84.6406725,1
48823,42.8268309,-84.5410511,1
48823,42.79229526,-84.54275756,6
48823,42.769409,-84.503897,1
49738,44.66268963,-84.72156232,26
49738,44.6324445,-84.7108419,4
49738,44.65915771,-84.58979984,9
49738,44.71024087,-84.65531487,4
49738,44.6654892,-84.7697372,1
49738,44.72784347,-84.79259847,4
49738,44.7936096,-84.7552605,2
49738,44.78783035,-84.6216965,2
49738,44.854132,-84.714678,1
49738,44.81585677,-84.48964017,4
49738,44.79056727,-84.45793183,4
49738,44.5470734,-84.7713776,1
49738,44.52637728,-84.71190445,5
49738,44.5893279,-84.60069867,4
49630,45.7458231,-87.09019737,1
49630,45.7393655,-87.0753948,1
49630,45.75497125,-87.0771192,3
49630,45.765647,-87.077765,1
49630,45.71679188,-87.00004788,6
49630,45.6860023,-87.11553,1
49630,45.791172,-87.3405717,1
49630,45.6456314,-87.1865264,1
49630,45.87491952,-87.00784856,7
49630,45.84447493,-87.00022803,4
49630,45.8375939,-87.0368789,1
49630,45.91816735,-86.969558,3
49630,45.90834314,-86.93852433,10
49630,45.84817253,-86.57567086,10
49630,46.0824034,-86.58483415,3
49630,45.81064595,-88.0360061,3
49630,45.81326933,-88.05641753,4
49630,45.84355316,-88.05430028,7
49630,45.81699545,-88.07677885,3
49630,45.8815436,-88.0562477,1
49630,45.86721553,-88.08645873,4
49630,45.809099,-88.0488903,3
49630,45.7936659,-87.923457,1
48837,42.73312195,-84.65697857,7
48837,42.68104665,-84.6497105,2
48837,42.7433176,-84.65786411,8
48837,42.5872762,-84.8007242,1
48842,42.4950917,-84.6574347,1
48842,42.5573188,-84.6205169,1
49770,45.38668845,-84.9261335,1
49770,45.36665673,-84.99166243,4
49770,45.36629573,-84.97047833,5
49770,45.3547369,-85.02942222,6
49770,45.3532312,-84.96724706,7
49701,45.6798706,-84.9331665,1
49701,45.73091888,-84.9123249,6
49770,45.4531521,-84.9137801,1
49770,45.4260743,-84.90006285,2
49770,45.5039571,-85.09920757,4
49770,45.4917183,-85.0765457,1
49770,45.4719315,-84.9251219,3
49770,45.49254863,-84.90853883,4
49770,45.43977707,-85.0367379,4
49770,45.4215317,-84.8209457,2
49749,45.4280262,-84.76885013,3
49770,45.3875294,-84.9101514,1
49770,45.337513,-84.9301453,1
49770,45.3948557,-84.8929252,1
49770,45.31868818,-84.73949586,7
48502,43.0137829,-83.6842144,1
48502,43.0166319,-83.6922485,1
48502,43.0349624,-83.6483758,1
48502,42.9869685,-83.674672,1
48415,43.1599557,-83.7007226,1
48502,43.1990351,-83.46460675,3
48502,43.0616571,-83.7684731,1
48502,43.0649762,-83.7639461,1
48502,43.0918426,-83.6930465,1
48502,43.0953439,-83.6746032,2
48502,43.122309,-83.466552,1
48502,43.0736298,-83.5558997,1
48502,43.0634581,-83.5444405,1
48507,43.0031561,-83.7598328,1
48507,42.9930896,-83.74044033,4
48507,42.98753554,-83.73973052,7
48507,42.94722153,-83.71974257,4
48507,42.93736044,-83.72461212,7
48507,42.9001956,-83.63273688,1
48507,42.9088404,-83.5915363,1
48507,42.79791137,-83.7373243,4
48617,43.9796142,-84.4693756,1
48617,43.9797161,-84.4951407,1
48617,44.0261307,-84.55513507,4
48617,44.00750975,-84.5455868,3
48657,43.96009607,-84.34514937,4
48661,44.1331151,-84.4150131,1
48661,44.1029587,-84.4566803,1
48657,43.87838365,-84.3176422,3
48657,43.85018918,-84.33716585,6
48617,43.8350394,-84.5460223,1
49630,46.47605763,-90.12472989,12
49630,46.4923,-90.149889,6
49630,46.60461423,-90.33906047,4
49630,46.5130721,-90.0739947,1
49630,46.50955823,-90.09203244,27
49630,46.47041323,-90.01088905,6
